gene_id	transcript_id(s)	chromosome	tx_start	tx_end	strand	length	effective_length	expected_count	TPM	FPKM	posterior_mean_count	posterior_standard_deviation_of_count	pme_TPM	pme_FPKM	TPM_ci_lower_bound	TPM_ci_upper_bound	FPKM_ci_lower_bound	FPKM_ci_upper_bound	promoter_start	promoter_end	H3K4me3	H3K27me3
ENSG00000223972.5	ENST00000450305.2	chr1	12009	13670	+	1144.5	978.09	0	0	0	0.85	1.07	0.16	0.15	0.00216051	0.383243	0.00175474	0.356009	10009	13009	False	False
ENSG00000227232.5	ENST00000488147.1	chr1	14403	29570	-	1351	1184.57	142.46	5.95	5.2	139.94	12.91	5.49	5.1	4.16424	6.83051	3.86706	6.34635	28570	31570	False	False
ENSG00000278267.1	ENST00000619216.1	chr1	17368	17436	-	68	0	0	0	0	0	0	0	0	0	0	0	0	16436	19436	False	False
ENSG00000243485.3	ENST00000469289.1	chr1	30266	31109	+	712	545.59	1.97	0.18	0.16	1.88	1.38	0.37	0.34	0.0209023	0.804734	0.0195251	0.748511	28266	31266	False	False
ENSG00000274890.1	ENST00000607096.1	chr1	30365	30503	+	138	6.65	0	0	0	0	0	6.93	6.45	6.51E-05	20.8892	6.05E-05	19.4263	28365	31365	False	False
ENSG00000237613.2	ENST00000417324.1	chr1	34553	36081	-	1187	1020.57	0.05	0	0	7.25	4.66	0.55	0.51	0.0373758	1.12972	0.0323047	1.04816	35081	38081	False	False
ENSG00000268020.3	ENST00000606857.1	chr1	52472	53312	+	840	673.57	0	0	0	0	0	0.07	0.06	1.41E-06	0.205319	1.31E-06	0.191009	50472	53472	False	False
ENSG00000240361.1	ENST00000492842.1	chr1	62948	63887	+	940	773.57	0	0	0	0	0	0.06	0.06	1.31E-07	0.17883	1.21E-07	0.166273	60948	63948	False	False
ENSG00000186092.4	ENST00000335137.3	chr1	69054	70108	+	918	751.57	0	0	0	0	0	0.06	0.06	2.23E-07	0.184087	2.07E-07	0.171193	67054	70054	False	False
ENSG00000239945.1	ENST00000495576.1	chr1	89550	91105	-	1319	1152.57	10.94	0.47	0.41	14.46	8.37	0.62	0.57	0.029791	1.33377	0.027765	1.24003	90105	93105	False	False
ENSG00000238009.6	ENST00000453576.2	chr1	129080	133566	-	2307.95	2141.59	203.66	4.71	4.11	202.86	11.7	4.96	4.61	3.78386	6.31875	3.49947	5.85501	132566	135566	False	False
ENSG00000233750.3	ENST00000442987.3	chr1	131024	134836	+	3812	3645.57	0	0	0	0	0	0.01	0.01	5.34E-07	0.0380137	4.97E-07	0.0353343	129024	132024	False	False
ENSG00000268903.1	ENST00000494149.2	chr1	135140	135895	-	755	588.58	6.35	0.53	0.47	7.57	4.44	0.67	0.62	0.000148056	1.42921	0.000137645	1.32932	134895	137895	False	False
ENSG00000269981.1	ENST00000595919.1	chr1	137681	137965	-	284	119.18	0	0	0	0.15	0.36	0.45	0.41	6.44E-07	1.3099	5.99E-07	1.21791	136965	139965	False	False
ENSG00000239906.1	ENST00000493797.1	chr1	139789	140339	-	323	157.29	0	0	0	0.27	0.52	0.37	0.35	5.61E-07	1.10135	5.21E-07	1.02405	139339	142339	False	False
ENSG00000241860.6	ENST00000466557.6	chr1	146385	173862	-	1990.78	1824.58	217.06	5.89	5.14	212.98	8.2	6.04	5.62	4.43263	7.86145	4.11892	7.3067	172862	175862	False	False
ENSG00000222623.1	ENST00000410691.1	chr1	157783	157887	-	104	0	0	0	0	0	0	0	0	0	0	0	0	156887	159887	False	False
ENSG00000241599.1	ENST00000496488.1	chr1	160445	161525	+	457	290.66	0	0	0	0.5	0.5	0.24	0.22	1.05E-05	0.655282	9.74E-06	0.608926	158445	161445	False	True
ENSG00000279928.1	ENST00000624431.1	chr1	182695	184174	+	718	551.59	1.47	0.13	0.12	1.12	0.82	0.18	0.16	5.13E-06	0.449552	4.78E-06	0.417909	180695	183695	False	True
ENSG00000279457.3	ENST00000623083.3	chr1	185216	195411	-	1622.89	1456.46	207.24	7.04	6.15	207.52	22.05	6.75	6.27	5.11885	8.48683	4.76295	7.89519	194411	197411	False	True
ENSG00000273874.1	ENST00000612080.1	chr1	187890	187958	-	68	0	0	0	0	0	0	0	0	0	0	0	0	186958	189958	False	True
ENSG00000236743.1	ENST00000441866.1	chr1	258143	359681	-	676	509.59	0	0	0	2.28	2.3	0.3	0.28	1.47E-05	0.821776	1.37E-05	0.764115	358681	361681	False	True
ENSG00000241670.3	ENST00000450734.1	chr1	258567	259024	-	457	290.66	62.25	10.6	9.26	41.54	16.9	6.75	6.27	1.09273	12.0224	1.00859	11.1684	258024	261024	False	True
ENSG00000236679.2	ENST00000458203.2	chr1	347981	348366	-	385	218.8	0	0	0	13.74	11.85	3.11	2.89	0.00020345	8.36886	0.000189087	7.78311	347366	350366	False	True
ENSG00000236601.2	ENST00000412666.1	chr1	358871	365510	+	675.67	509.29	0	0	0	0	0	0.34	0.31	0.0220064	0.755132	0.0209359	0.702445	356871	359871	False	True
ENSG00000269732.1	ENST00000437905.2	chr1	439869	440232	+	363	196.9	0	0	0	0	0	0.23	0.22	2.06E-06	0.705643	1.92E-06	0.656128	437869	440869	False	True
ENSG00000278566.1	ENST00000426406.2	chr1	450702	451697	-	939	772.57	0	0	0	1.96	2.12	0.18	0.16	8.39E-07	0.507575	7.79E-07	0.472031	450697	453697	False	True
ENSG00000224813.3	ENST00000445840.2	chr1	485025	485208	-	183	30.71	0	0	0	0.34	0.59	2.02	1.88	3.86E-05	5.94478	0.000289996	5.52934	484208	487208	False	True
ENSG00000233653.3	ENST00000432723.3	chr1	487100	489906	+	2477	2310.57	0	0	0	0	0	0.02	0.02	1.35E-07	0.0599871	1.26E-07	0.0557826	485100	488100	False	True
ENSG00000250575.1	ENST00000514436.1	chr1	491224	493241	-	1239	1072.57	16.53	0.76	0.67	16.39	4.63	0.75	0.7	0.268849	1.28825	0.249794	1.1971	492241	495241	False	True
ENSG00000237094.11	ENST00000419160.3	chr1	494381	496605	-	519.43	353.07	98.66	13.84	12.08	97.45	6.9	15.33	14.25	11.9157	18.9554	11.1109	17.6548	495605	498605	False	True
ENSG00000278757.1	ENST00000614007.1	chr1	516375	516479	-	104	0	0	0	0	0	0	0	0	0	0	0	0	515479	518479	False	True
ENSG00000235146.2	ENST00000423796.1	chr1	587628	594768	+	504.5	338.17	0	0	0	0	0	0.3	0.28	0.00822578	0.738332	0.00578661	0.684738	585628	588628	False	True
